customer_id,age,gender,zipcode,signup_source,lifetime_value
1001,34,Female,02139,Web,120.5
1002,41,Male,94107,Web,98.0
1003,,Mle,10001,Mobile,45.2
1004,29,Female,ABCDE,Partner,200.0
1005,52,Female,60601,Web,
1005,52,Female,60601,Web,175.0
1006,24,Female,30301,Mobile,39.8
1007,67,Male,77002,Partner,640.0
1008,15,Female,90012,Web,8.5
1009,92,Male,10011,Store,12.0
1010,43,Unknown,3310A,Mobile,333.4
1011,,Female,60614-1234,Email,220.0
1012,38,Male,73301,Referral,0.0
1013,38,male,73301,Referral,5100.0
1014,47,Female,98101,Web,415.2
1015,61,Female,02139,Partner,920.0
1016,31,Non-Binary,,Mobile,140.0
1017,55,Female,99999,Web,300.0
1018,-2,Male,45202,Store,89.0
1019,120,Female,19103,Web,67.0
1020,44,Female,75201,Web,880.0
1021,44,Female,75201,Affiliate,880.0
1022,27,Male,11211,Mobile,75.4
1023,36,Female,94107,Web,
1024,,F,07030,Unknown,130.0
